x        y        z        # 50 points in 3d with random coordinates [-20..20]
-13	-10	-13
20	-20	-14
-1	-17	12
-7	-8	-18
1	5	12
-18	9	-9
-3	0	-14
-9	2	-12
-1	8	-3
15	-16	-16
18	-7	17
-19	19	-14
3	9	-3
5	-19	-19
20	19	-19
-15	17	1
16	16	-6
-1	-2	-9
-19	-17	19
-15	14	8
18	-6	12
-14	-19	7
20	-14	-18
17	-6	17
-19	-5	-14
-4	-14	-2
-6	-5	17
9	6	9
-8	17	-16
0	-13	-6
4	-10	-15
-18	12	-9
-2	-10	6
-6	18	-20
15	-14	5
-4	-4	0
18	-6	10
-10	9	-9
1	-3	1
-4	-11	17
-2	-2	-11
17	8	-11
7	-11	18
11	-3	1
20	4	-1
14	1	-5
16	-13	3
-8	-7	-14
-4	2	11
9	-16	5
